feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_A0A174FN26	condition	CRC	-5.48626841918175	0.212364274162477	66	28	1.44898540928877e-35	4.07918372422973e-31
UniRef90_A0A173UXL2	condition	CRC	-3.85238015288182	0.159236513581969	66	28	6.58624229569545e-34	9.27079465542092e-30
UniRef90_A0A174DSX8	condition	CRC	-5.0653727350296	0.221390906839428	66	28	1.62663179303419e-32	1.52643127458328e-28
UniRef90_A0A174TXD8	condition	CRC	-4.01541290270204	0.178630868709671	66	28	4.45774604046246e-32	3.13736166327748e-28
UniRef90_A0A174DTP7	condition	CRC	-5.1427973830197	0.230834277371634	66	28	7.4031097333718e-32	4.16824690427766e-28
UniRef90_A0A174Q115	condition	CRC	-4.73024454787215	0.21470282322408	66	28	1.39552037222795e-31	6.54778158649354e-28
UniRef90_A0A174XZM4	condition	CRC	-4.05514702422696	0.186223765199429	66	28	2.7029994731709e-31	1.08706915955296e-27
UniRef90_A0A174DIW8	condition	CRC	-5.55650564637652	0.258257589329397	66	28	5.3276997159978e-31	1.87481753005962e-27
UniRef90_A0A174Q0V3	condition	CRC	-3.44285444798144	0.161943891896366	66	28	1.04424149802296e-30	3.26638740581581e-27
UniRef90_A0A174E3Q8	condition	CRC	-5.09490303211067	0.240233588058632	66	28	1.19641088460004e-30	3.36813592232604e-27
UniRef90_A0A174G236	condition	CRC	-3.8023352038177	0.179873498329293	66	28	1.43721320628599e-30	3.67822056212393e-27
UniRef90_A0A174FJF4	condition	CRC	-3.97936404830474	0.189295973962527	66	28	1.96195348396852e-30	4.60274287339016e-27
UniRef90_A0A174UTQ0	condition	CRC	-3.37700086987637	0.161603786957796	66	28	2.74054408224181e-30	5.93475361563626e-27
UniRef90_A0A173ZN05	condition	CRC	-5.43612036310269	0.261959355109436	66	28	4.04469347887219e-30	8.13330077265786e-27
UniRef90_A0A173XR90	condition	CRC	-5.43128350816076	0.262738519544699	66	28	5.01716180593812e-30	9.41620927738467e-27
UniRef90_A0A174ETR6	condition	CRC	-4.14901679237252	0.201600319626222	66	28	6.42357896526784e-30	1.13022871893888e-26
