feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_A0A0M6WVQ7	condition	PD	-0.913483982690356	0.191579819705732	136	25	4.80968926584714e-06	0.00904306427534012
UniRef90_A0A139TP19	condition	PD	1.255769420425	0.271699309327129	136	47	8.87831025596347e-06	0.00904306427534012
UniRef90_A0A139TQ71	condition	PD	1.17002020943887	0.251213555439641	136	43	7.66049234978398e-06	0.00904306427534012
UniRef90_A0A139TQY3	condition	PD	1.41264957004855	0.289556820075442	136	44	3.00189336732762e-06	0.00904306427534012
UniRef90_A0A139TUT8	condition	PD	1.01481245868211	0.223877929340491	136	41	1.28253411026096e-05	0.00904306427534012
UniRef90_A0A174IRS1	condition	PD	0.956503613738846	0.212230635476646	136	42	1.4237864184592e-05	0.00904306427534012
UniRef90_A0A174PF63	condition	PD	-1.17606127920953	0.213759456937016	136	38	1.86105114260276e-07	0.00904306427534012
UniRef90_A0A174VI29	condition	PD	1.55125666109005	0.335808886542162	136	79	8.97151741120026e-06	0.00904306427534012
UniRef90_A0A174ZZ02	condition	PD	1.07230908421508	0.228258082753611	136	35	6.47264953960644e-06	0.00904306427534012
UniRef90_A0A1L5KUW9	condition	PD	1.26836963371712	0.268168457030784	136	41	5.65765209314715e-06	0.00904306427534012
UniRef90_A0A1Q6I3H0	condition	PD	1.05736408472433	0.215639480737322	136	48	2.69614556047785e-06	0.00904306427534012
UniRef90_A0A1Q6I3J7	condition	PD	1.16179530617033	0.220283455328889	136	49	5.24677111480087e-07	0.00904306427534012
UniRef90_A0A1Q6IBJ9	condition	PD	1.39480799771954	0.278917116316914	136	55	1.76823253943742e-06	0.00904306427534012
UniRef90_A0A1Q6NT39	condition	PD	1.55827920912194	0.317955987420719	136	43	2.72505637016149e-06	0.00904306427534012
UniRef90_A0A1Q6URL5	condition	PD	1.32222068497983	0.288148845335908	136	47	1.01905153329315e-05	0.00904306427534012
UniRef90_A0A2N8HCP7	condition	PD	1.15769265029399	0.250003351840347	136	42	8.56475533340109e-06	0.00904306427534012
UniRef90_A0A2N8HCS0	condition	PD	1.25556568138708	0.277425816772097	136	51	1.32054974835663e-05	0.00904306427534012
UniRef90_A0A2N8HLZ5	condition	PD	1.31854476331884	0.288989777901597	136	46	1.13517498662419e-05	0.00904306427534012
UniRef90_A0A2N8HSH6	condition	PD	1.42115569041897	0.289976354738461	136	48	2.72713472653358e-06	0.00904306427534012
UniRef90_A0A2N8HVX9	condition	PD	1.13342527392832	0.245934372120887	136	42	9.38560610324333e-06	0.00904306427534012
UniRef90_A0A2N8HW65	condition	PD	1.18368866458904	0.259686632092125	136	42	1.15619438313957e-05	0.00904306427534012
UniRef90_A0A2N8HX52	condition	PD	1.09737164622721	0.239047246570522	136	41	1.01131397288952e-05	0.00904306427534012
UniRef90_A0A2N8HXF2	condition	PD	1.2472346128726	0.268057970780114	136	43	7.81047609390189e-06	0.00904306427534012
UniRef90_A0A2N8HXK3	condition	PD	1.07200133988147	0.233880281402982	136	40	1.04130529709344e-05	0.00904306427534012
UniRef90_A0A2N8HXL3	condition	PD	1.10537301179387	0.239213381517342	136	41	8.92147771133111e-06	0.00904306427534012
UniRef90_A0A2N8HXN1	condition	PD	0.993417172617306	0.220138890864831	136	39	1.39322058011979e-05	0.00904306427534012
