feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef90_A0A174T1T5	condition	CRC	2.41137629342271	0.273096926010718	234	175	2.74017187589304e-16	1.58107917239029e-11
UniRef90_A0A174FV52	condition	CRC	-1.66115655898095	0.194337439647013	234	163	1.77239255140107e-15	5.11335251079209e-11
UniRef90_A0A0A2FLK3	condition	CRC	2.21007909053243	0.266862232522726	234	185	1.00547961961606e-14	1.93387246839489e-10
UniRef90_A0A173VBN6	condition	CRC	-2.01782698295857	0.254635615367703	234	124	1.10608382298726e-13	1.59552591465912e-09
UniRef90_A0A173W330	condition	CRC	-2.60831351998662	0.343781958200711	234	147	7.88074033150947e-13	9.09437434256193e-09
UniRef90_A0A174TPA2	condition	CRC	1.95893185821083	0.263342832330159	234	170	2.01059308781608e-12	1.65730315952839e-08
UniRef90_A0A174W5Z4	condition	CRC	-3.04594430844658	0.408320705635096	234	139	1.80913054860282e-12	1.65730315952839e-08
UniRef90_A0A139JZX3	condition	CRC	1.97143615287148	0.270453950585189	234	170	4.92440402702364e-12	3.5517264044908e-08
UniRef90_A0A173XT59	condition	CRC	2.96285626696392	0.41444044866954	234	185	1.15332839084852e-11	6.04973165017812e-08
UniRef90_A0A174SUJ5	condition	CRC	1.84035319679263	0.257367549574326	234	168	1.13985093231341e-11	6.04973165017812e-08
UniRef90_A0A192CAU6	condition	CRC	2.98207011437328	0.416756977159404	234	166	1.09968055069942e-11	6.04973165017812e-08
UniRef90_A0A173VTL3	condition	CRC	-1.58908103657301	0.223385194393406	234	98	1.5047171608199e-11	7.23518168160901e-08
UniRef90_A0A173VLY6	condition	CRC	-1.91219293864546	0.269815113353459	234	82	1.84371847362354e-11	7.59875399486273e-08
UniRef90_A0A174TGW6	condition	CRC	1.98771264287475	0.281033195533063	234	167	1.80988807502494e-11	7.59875399486273e-08
UniRef90_A0A174ERG6	condition	CRC	1.8739707127449	0.265746186227206	234	161	2.04971150811012e-11	7.88455693453026e-08
UniRef90_A0A174M525	condition	CRC	-1.18045646649078	0.168639358903707	234	46	2.75735328025286e-11	9.94370526691189e-08
UniRef90_A0A139KCD6	condition	CRC	2.09806684779465	0.300391527783376	234	177	3.03824458989384e-11	1.03121595786397e-07
UniRef90_A0A0T5XMK9	condition	CRC	1.3047088753949	0.188990313109585	234	104	4.89503721407673e-11	1.53670853984232e-07
UniRef90_A0A1H7P0I4	condition	CRC	1.63045060596992	0.236361596183694	234	177	5.06021876204576e-11	1.53670853984232e-07
UniRef90_A0A173VY73	condition	CRC	-1.24724349831379	0.180446237996721	234	72	5.7610183310975e-11	1.66205378852163e-07
UniRef90_A0A0A2FIM7	condition	CRC	2.01483940746065	0.293494293501169	234	161	6.08142561237755e-11	1.67094408492469e-07
UniRef90_A0A0E2T0E4	condition	CRC	2.23387777007983	0.326725087735454	234	176	7.2052533140981e-11	1.88974143737936e-07
UniRef90_A0A069S7J7	condition	CRC	2.50983197693941	0.368898637035723	234	152	8.71701612865086e-11	2.15964373619763e-07
UniRef90_A0A174VPA8	condition	CRC	1.74585732785329	0.256776038356335	234	169	8.98292021988615e-11	2.15964373619763e-07
UniRef90_A0A0M6WL63	condition	CRC	-1.83904103597982	0.273420166600595	234	188	1.34899208528718e-10	3.11347373284282e-07
UniRef90_A0A0H2YW97	condition	CRC	2.05209577015949	0.308081951535576	234	162	1.96690017836857e-10	4.36500539584102e-07
UniRef90_A0A023YSE6	condition	CRC	1.97913513421545	0.297873888566328	234	66	2.14882216176441e-10	4.452017533594e-07
UniRef90_A0A0E1LEU7	condition	CRC	1.82811160388726	0.276169179178231	234	99	2.47299061943341e-10	4.452017533594e-07
UniRef90_A0A0I1U2I5	condition	CRC	2.23518853226649	0.337429116821613	234	114	2.41916944543415e-10	4.452017533594e-07
UniRef90_A0A139JZX5	condition	CRC	1.88064966887694	0.283730359241283	234	157	2.37049969751195e-10	4.452017533594e-07
