feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7237..myo...chiro..and.scyllo.inositol.degradation	condition	CRC	-0.99355950514441	0.146399715937028	300	286	6.2380030771513e-11	2.59500928009494e-08
PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.	condition	CRC	1.52326500759963	0.273988889904586	300	175	6.0165475496361e-08	1.08188588149301e-05
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.	condition	CRC	-0.576932252855761	0.104718354928596	300	296	7.80206164538229e-08	1.08188588149301e-05
PWY.7385..1.3.propanediol.biosynthesis..engineered.	condition	CRC	1.27688969157736	0.236793709652096	300	123	1.41980878565173e-07	1.4766011370778e-05
PWY.6168..flavin.biosynthesis.III..fungi.	condition	CRC	1.14789857204697	0.222829650214529	300	193	4.73618070727038e-07	3.94050234844895e-05
PWY.5656..mannosylglycerate.biosynthesis.I	condition	CRC	1.19481752507087	0.234192961394257	300	109	6.00158393602419e-07	4.16109819564344e-05
PWY.5104..L.isoleucine.biosynthesis.IV	condition	CRC	1.35987030564105	0.272273102002404	300	128	1.00748906932786e-06	5.98736361200558e-05
P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate	condition	CRC	0.585985341065908	0.119662867177471	300	37	1.62591574285969e-06	8.4547618628704e-05
PWY.6572..chondroitin.sulfate.degradation.I..bacterial.	condition	CRC	0.983285420431827	0.20208633871636	300	161	1.85834331199021e-06	8.58967575319921e-05
PWY.7204..pyridoxal.5..phosphate.salvage.II..plants.	condition	CRC	1.27669315434668	0.263895158043902	300	135	2.10927115474856e-06	8.77456800375401e-05
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	condition	CRC	1.29801832940097	0.276009986780138	300	191	3.93765889109986e-06	0.000148915099881595
PWY.5392..reductive.TCA.cycle.II	condition	CRC	0.65565821398581	0.144344130371769	300	74	8.08987165922283e-06	0.000280448884186391
PWY.6285..superpathway.of.fatty.acids.biosynthesis..E..coli.	condition	CRC	1.20073736714009	0.268096099156632	300	144	1.07154582164228e-05	0.000342894662925531
PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.	condition	CRC	1.15044918723675	0.258161227728087	300	176	1.18253646834558e-05	0.00035138226487983
PWY.5972..stearate.biosynthesis.I..animals.	condition	CRC	0.683310678491003	0.154047103060521	300	77	1.29248601357651e-05	0.000358449454431886
LIPASYN.PWY..phospholipases	condition	CRC	0.894174053705376	0.204803841382175	300	58	1.74872167697903e-05	0.000419315539942379
PWY.6328..L.lysine.degradation.X	condition	CRC	0.503015388782279	0.114965271228312	300	31	1.68959204786439e-05	0.000419315539942379
RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	condition	CRC	-0.621376934661885	0.142601459516065	300	283	1.81434608628914e-05	0.000419315539942379
GLUTORN.PWY..L.ornithine.biosynthesis.I	condition	CRC	-0.436878406552324	0.100884014818799	300	296	2.03602775619408e-05	0.000445782919250913
TCA..TCA.cycle.I..prokaryotic.	condition	CRC	1.31419449829009	0.306018843042944	300	162	2.37417082383895e-05	0.000493827531358503
PWY.7254..TCA.cycle.VII..acetate.producers.	condition	CRC	0.866161024990601	0.204964408734731	300	111	3.1678527062303e-05	0.000627536536091336
METH.ACETATE.PWY..methanogenesis.from.acetate	condition	CRC	-0.911201962259036	0.217114160933696	300	268	3.58095291131044e-05	0.00067712564141143
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	condition	CRC	-0.390297204139863	0.09470476901504	300	296	4.89354196789541e-05	0.000743902843758193
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.	condition	CRC	-0.414808725489089	0.100790227341292	300	296	5.00703837144938e-05	0.000743902843758193
FUC.RHAMCAT.PWY..superpathway.of.fucose.and.rhamnose.degradation	condition	CRC	0.887363822885868	0.213880397163889	300	225	4.37459322361151e-05	0.000743902843758193
HSERMETANA.PWY..L.methionine.biosynthesis.III	condition	CRC	-0.44166776933555	0.107305436226305	300	296	4.99731582666004e-05	0.000743902843758193
PWY.5677..succinate.fermentation.to.butanoate	condition	CRC	0.545849057573368	0.132519710374672	300	65	4.93416232307881e-05	0.000743902843758193
PWY.6859..all.trans.farnesol.biosynthesis	condition	CRC	0.911066491348932	0.219668621758174	300	229	4.40005944857647e-05	0.000743902843758193
