feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.5022..4.aminobutanoate.degradation.V	condition	DM2	2.31734624664585	0.31102860877967	192	113	3.17844782021195e-12	1.31587739756775e-09
PWY.7204..pyridoxal.5..phosphate.salvage.II..plants.	condition	DM2	2.39915713792644	0.338802379897856	192	112	2.69587610823471e-11	5.58046354404585e-09
PWY.6961..L.ascorbate.degradation.II..bacterial..aerobic.	condition	DM2	2.31031437167634	0.338308420126007	192	130	1.12176280544663e-10	1.54803267151635e-08
METH.ACETATE.PWY..methanogenesis.from.acetate	condition	DM2	-1.38662156681488	0.207553843795044	192	185	2.55780645542117e-10	2.64732968136091e-08
PWY.6823..molybdopterin.biosynthesis	condition	DM2	-0.724944459893341	0.110332454859844	192	192	4.68926182294568e-10	3.88270878939902e-08
PWY.5497..purine.nucleobases.degradation.II..anaerobic.	condition	DM2	1.49833333791914	0.231223537451555	192	167	7.68038708757737e-10	4.54240036322433e-08
PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	condition	DM2	1.12686977078437	0.173800665884679	192	189	7.52825802206198e-10	4.54240036322433e-08
PWY.5675..nitrate.reduction.V..assimilatory.	condition	DM2	1.9506526894082	0.319893991432771	192	124	5.89931304439775e-09	2.6905536451163e-07
PWY.5918..superpathway.of.heme.b.biosynthesis.from.glutamate	condition	DM2	1.76189886934967	0.289837965934639	192	150	6.49892184810701e-09	2.6905536451163e-07
PWY.5972..stearate.biosynthesis.I..animals.	condition	DM2	1.40989065359485	0.23105671352269	192	81	5.78075587293447e-09	2.6905536451163e-07
PWY.5920..superpathway.of.heme.b.biosynthesis.from.glycine	condition	DM2	1.92572773497628	0.324104250063593	192	119	1.32324027406952e-08	4.98019521331619e-07
PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation	condition	DM2	2.3700363177646	0.400868849269496	192	125	1.53927216576269e-08	5.31048897188127e-07
PWY.5392..reductive.TCA.cycle.II	condition	DM2	1.19667685400364	0.204018914933018	192	58	1.9548829035305e-08	5.99220844500073e-07
PWY0.461..L.lysine.degradation.I	condition	DM2	1.42404371104253	0.243637204115545	192	76	2.17109001630461e-08	5.99220844500073e-07
TCA..TCA.cycle.I..prokaryotic.	condition	DM2	2.0819750313424	0.355954229495974	192	126	2.1266585081797e-08	5.99220844500073e-07
PWY.5136..fatty.acid..beta..oxidation.II..plant.peroxisome.	condition	DM2	1.62195350752187	0.283884084173703	192	183	4.21956013514574e-08	7.50559283730899e-07
