feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fusobacterium.nucleatum	condition	CRC	1.45847331255603	0.309703982729324	300	49	3.82497176306586e-06	0.0027818711956365
Clostridium.sporogenes	condition	CRC	-1.10330432398317	0.237347364034897	300	38	5.03050849120525e-06	0.0027818711956365
Streptomyces.sp..ZYC.3	condition	CRC	-0.493815612197025	0.109232053163751	300	32	8.90971780192748e-06	0.00328471596297727
Streptomyces.sp..3211	condition	CRC	-1.04014041897258	0.240676858739334	300	148	2.11495027398509e-05	0.00584783750756876
Komagataeibacter.rhaeticus	condition	CRC	1.4063838030586	0.344119080801005	300	121	5.64076629472448e-05	0.0124773750439305
Thalassobius.gelatinovorus	condition	CRC	-0.59878124809499	0.148661778992072	300	47	7.15908838023596e-05	0.0126109537238289
Clostridium.butyricum	condition	CRC	-0.965713437996787	0.241375845519436	300	286	7.98161628090436e-05	0.0126109537238289
Prevotella.sp..oral.taxon.299	condition	CRC	-0.986438280900247	0.251635115625401	300	286	0.000109947183082319	0.0152001980611306
Peptoclostridium.acidaminophilum	condition	CRC	-1.07129877907226	0.278722769304043	300	285	0.000148430111954198	0.0169957736208406
Mycoplasmopsis.cynos	condition	CRC	-1.08779269420935	0.283677971288929	300	276	0.000153668839248106	0.0169957736208406
Escherichia.coli	condition	CRC	0.670330947063905	0.185636799328844	300	300	0.000357792607149457	0.0268722106789922
Pseudomonas.chlororaphis	condition	CRC	-1.17858583515347	0.32195876828595	300	268	0.000297503227260954	0.0268722106789922
Pseudomonas.luteola	condition	CRC	-1.39419364503983	0.388752621112919	300	148	0.000391805594326692	0.0268722106789922
Legionella.adelaidensis	condition	CRC	-0.680774948988578	0.191132649216549	300	286	0.000428930736926068	0.0268722106789922
Methylobacterium.currus	condition	CRC	-0.991774139833778	0.276340445117728	300	151	0.000388296836406061	0.0268722106789922
Arcobacter.cloacae	condition	CRC	-1.00567394025017	0.28038946901254	300	83	0.000391373321520511	0.0268722106789922
Allocoleopsis.franciscana	condition	CRC	-0.935664113025677	0.263077966836549	300	284	0.000437341584287395	0.0268722106789922
Natronorubrum.bangense	condition	CRC	-0.933777671073953	0.254266145894051	300	179	0.00028508946741731	0.0268722106789922
Fibrisoma.limi	condition	CRC	-0.587223058746218	0.166218735711782	300	51	0.000476712090752541	0.0277496617038058
Pseudochrobactrum.sp..XF203	condition	CRC	-1.07574868933725	0.312253564860832	300	171	0.000653056743600422	0.0277800291700795
Butyricicoccus.sp..GAM44	condition	CRC	-1.26696850954068	0.364912047464494	300	259	0.000594039385458343	0.0277800291700795
Paenibacillus.cellulosilyticus	condition	CRC	-0.742005285270495	0.212430712188647	300	286	0.000550546530260825	0.0277800291700795
Paenibacillus.sp..37	condition	CRC	-0.907131361316154	0.259542897118941	300	279	0.0005468175471138	0.0277800291700795
Mesomycoplasma.conjunctivae	condition	CRC	-0.74511719497901	0.215663280210332	300	286	0.00063072815127182	0.0277800291700795
Thermomicrobium.roseum	condition	CRC	-0.808878302460303	0.234435320917761	300	285	0.000641782621700088	0.0277800291700795
Flammeovirga.kamogawensis	condition	CRC	-1.15784505123889	0.333481806231674	300	270	0.000593113942615293	0.0277800291700795
Rubrobacter.tropicus	condition	CRC	-0.575124370114597	0.167797064080593	300	55	0.000695397065426847	0.0284855242356331
Paraclostridium.bifermentans	condition	CRC	-0.833757065811005	0.245444926783215	300	286	0.000774535373925153	0.0295391766745248
Mesobacillus.foraminis	condition	CRC	-0.681664972941946	0.200269128307329	300	285	0.000757078164904029	0.0295391766745248
Fusobacterium.hwasookii	condition	CRC	0.657414436289489	0.194416810658954	300	44	0.000818010815203321	0.0301573320538291
Clostridium.sp..MT351	condition	CRC	-0.676580684465364	0.202154453535074	300	284	0.000923559770748057	0.0329502292402371
Alteromonas.macleodii	condition	CRC	-0.712531303817232	0.215724567121626	300	284	0.00107451528417794	0.034462531687596
Butyrivibrio.proteoclasticus	condition	CRC	-1.02393740459483	0.308655444151549	300	277	0.00102191788037547	0.034462531687596
Exiguobacterium.sp..N4.1P	condition	CRC	-0.67089757382927	0.202629859567683	300	286	0.00104497727649219	0.034462531687596
Deinococcus.geothermalis	condition	CRC	-1.11612646154667	0.339229148751456	300	239	0.00112165439600058	0.034462531687596
Nostoc.sp..NIES.2111	condition	CRC	-0.572731264531821	0.174065964292767	300	56	0.00112174605854743	0.034462531687596
Proteus.mirabilis	condition	CRC	-0.494337450599084	0.157131269157477	300	296	0.00182241056313136	0.0347514841866084
Pseudomonas.amygdali	condition	CRC	-1.19593694038268	0.378685812223962	300	261	0.00175077816784334	0.0347514841866084
Rhizobium.phaseoli	condition	CRC	-0.67741212958868	0.213422240671547	300	232	0.00166163705079419	0.0347514841866084
Neorhizobium.sp..NCHU2750	condition	CRC	-0.792702735799385	0.24551162125697	300	244	0.00138275449039481	0.0347514841866084
Mesorhizobium.sp..131.3.5	condition	CRC	-0.963309483537443	0.296723178164652	300	136	0.00130211849784839	0.0347514841866084
Mesorhizobium.sp..B2.1.8	condition	CRC	-1.19204688489901	0.373496447491719	300	190	0.00156654321190076	0.0347514841866084
Paroceanicella.profunda	condition	CRC	-0.677085819737802	0.213634477887937	300	286	0.00168769096794674	0.0347514841866084
Ketogulonicigenium.vulgare	condition	CRC	-1.04504164911492	0.332175195615653	300	248	0.00182219366955326	0.0347514841866084
Burkholderia.multivorans	condition	CRC	-1.00044854246141	0.316104079177535	300	226	0.00171304087349609	0.0347514841866084
Paraburkholderia.atlantica	condition	CRC	-0.7535767118673	0.238884595702425	300	171	0.00177292805925583	0.0347514841866084
Niveibacterium.microcysteis	condition	CRC	-0.951188891667915	0.297017055668823	300	242	0.00151100916222061	0.0347514841866084
Ruminococcus.albus	condition	CRC	-1.00874794390431	0.313148484315566	300	285	0.00141847780645407	0.0347514841866084
Bacillus.badius	condition	CRC	-0.733116506148923	0.226510866409312	300	282	0.0013478529406365	0.0347514841866084
Phocaeicola.dorei	condition	CRC	-1.32746414626536	0.406627944136444	300	280	0.00122509901537942	0.0347514841866084
Parabacteroides.distasonis	condition	CRC	-1.16203766968351	0.364170180995046	300	281	0.0015708160441009	0.0347514841866084
Butyricimonas.faecalis	condition	CRC	-1.39230073236789	0.439583353132246	300	270	0.00169825605048104	0.0347514841866084
Ilyobacter.polytropus	condition	CRC	-0.687038227466921	0.213069378825194	300	286	0.00140309506640235	0.0347514841866084
Natronorubrum.aibiense	condition	CRC	-0.44287014120553	0.139966213352859	300	56	0.00171752224212718	0.0347514841866084
Glutamicibacter.nicotianae	condition	CRC	-0.431484818667928	0.133057962908488	300	33	0.00131807120882809	0.0347514841866084
Clostridium.tetani	condition	CRC	-0.396341717861659	0.121941820249811	300	41	0.00128537518131043	0.0347514841866084
Janthinobacterium.lividum	condition	CRC	-0.401435711620058	0.12720863918615	300	36	0.00176493014744543	0.0347514841866084
Microbacterium.sediminis	condition	CRC	-0.506948386269499	0.160008935767357	300	39	0.0016930522021913	0.0347514841866084
Rufibacter.tibetensis	condition	CRC	-0.787334884388977	0.252495943214463	300	286	0.00199813489461711	0.0374565626007885
Tistrella.mobilis	condition	CRC	-0.607210375043569	0.195910858625897	300	286	0.00212560092860557	0.0379521994604977
Sulfitobacter.pseudonitzschiae	condition	CRC	-0.813765140802984	0.262585072010704	300	274	0.00212751931876208	0.0379521994604977
Geminocystis.sp..NIES.3708	condition	CRC	-0.52839502488052	0.170379561981475	300	47	0.00211204104918181	0.0379521994604977
Thalassospira.marina	condition	CRC	-0.719632486096593	0.2325954453454	300	284	0.0021642513717062	0.0379946351921755
Prevotella.nigrescens	condition	CRC	-0.958717683674427	0.310381896591148	300	284	0.00219985182142989	0.0380161892890852
Rhizobium.sp..NIBRBAC000502774	condition	CRC	-0.797146126252587	0.262985952154281	300	230	0.00265140905145784	0.0437680359837667
Streptococcus.sp..FDAARGOS_192	condition	CRC	-1.04743562776947	0.34524905333263	300	272	0.00262831299268565	0.0437680359837667
Paenibacillus.rhizovicinus	condition	CRC	-0.626736053738472	0.20674521195159	300	110	0.00264852519688234	0.0437680359837667
