feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Priestia.megaterium	condition	DM2	-1.4640193833348	0.173830102086023	192	192	8.92666296321058e-15	7.52517687798652e-12
Paroceanicella.profunda	condition	DM2	-1.79743872955062	0.219958149971978	192	191	4.22547764612938e-14	1.78103882784354e-11
Arthrobacter.sp..StoSoilB13	condition	DM2	-1.98614231778073	0.25345103994771	192	191	3.21864939080461e-13	6.78330359112071e-11
Mycoplasma.salivarium	condition	DM2	-1.57793400492508	0.20060771997949	192	191	2.70110497619766e-13	6.78330359112071e-11
Paenibacillus.polymyxa	condition	DM2	-1.46097938270121	0.189267887173199	192	191	6.50324356649269e-13	1.09644686531067e-10
Clostridium.sp..MT351	condition	DM2	-1.47164079668514	0.19763907635446	192	191	3.27333446813744e-12	3.44927619579982e-10
Clostridium.perfringens	condition	DM2	-1.78124487115391	0.239061459414334	192	191	3.18674250161628e-12	3.44927619579982e-10
Paenibacillus.cellulosilyticus	condition	DM2	-1.3616384701374	0.18226555994749	192	192	2.82705275174367e-12	3.44927619579982e-10
Mycoplasmopsis.cynos	condition	DM2	-1.65519336583452	0.22776656680301	192	191	9.30805119961685e-12	8.71854129030779e-10
Methylobacterium.aquaticum	condition	DM2	-1.55704234673681	0.216991045729287	192	191	1.57587625700938e-11	1.2781920217815e-09
Leptolyngbya.boryana	condition	DM2	-1.38140220659086	0.192792732476739	192	192	1.66786622059271e-11	1.2781920217815e-09
Alteromonas.macleodii	condition	DM2	-1.38363113135819	0.193756180423062	192	192	1.91572951687372e-11	1.32024199096614e-09
Methylosinus.sp..C49	condition	DM2	-2.13352971022754	0.299211719568468	192	187	2.03596036566546e-11	1.32024199096614e-09
Lactococcus.cremoris	condition	DM2	-2.0390491752636	0.288732702481414	192	188	3.00761612178715e-11	1.69028026044438e-09
Mesomycoplasma.conjunctivae	condition	DM2	-1.43127186488329	0.202505527523877	192	192	2.91372936118222e-11	1.69028026044438e-09
Paraclostridium.bifermentans	condition	DM2	-1.51172022492224	0.214417094974688	192	191	3.22673930346772e-11	1.70008827051455e-09
Streptococcus.salivarius	condition	DM2	-2.14519228517597	0.306334641158533	192	192	4.23289733982353e-11	2.09901909263014e-09
Tistrella.mobilis	condition	DM2	-1.34690771099597	0.193574899207538	192	192	5.43210732571611e-11	2.49003919164737e-09
Peptoclostridium.acidaminophilum	condition	DM2	-1.50928393093913	0.21734775945662	192	191	5.8932491460662e-11	2.49003919164737e-09
Streptomyces.sp..BHT.5.2	condition	DM2	-1.70645182728806	0.245760794197524	192	192	5.90756629097834e-11	2.49003919164737e-09
Pusillimonas.faecalis	condition	DM2	-1.59811769727223	0.232484344898861	192	192	8.73117612161996e-11	3.50494355739316e-09
Rhizobium.leguminosarum	condition	DM2	-1.35939090248696	0.200036983326205	192	192	1.35261731636112e-10	4.9576365117062e-09
Exiguobacterium.sp..N4.1P	condition	DM2	-1.33698659397468	0.196640464050427	192	192	1.32660934915269e-10	4.9576365117062e-09
Collinsella.aerofaciens	condition	DM2	-3.42333613199353	0.504318677218504	192	131	1.41155275498203e-10	4.95807905187439e-09
Streptococcus.oralis	condition	DM2	-1.40715863871074	0.208385392050801	192	192	1.71921151469741e-10	5.79718122755966e-09
Sulfurovum.sp..HSL1.3	condition	DM2	-1.41597504056741	0.209989288723381	192	191	1.81604514805614e-10	5.88817715312049e-09
Butyrivibrio.proteoclasticus	condition	DM2	-1.94434413438974	0.290090805275904	192	185	2.26784621348092e-10	7.08071984431266e-09
Clostridioides.difficile	condition	DM2	-1.53520624767945	0.230882215412774	192	192	3.04836401615758e-10	9.17053923717904e-09
Tsukamurella.tyrosinosolvens	condition	DM2	-1.62440285699582	0.244522893081024	192	192	3.15475252524546e-10	9.17053923717904e-09
Thalassospira.marina	condition	DM2	-1.40891448448538	0.213776305652	192	191	4.214314657323e-10	1.11020851753853e-08
Peribacillus.simplex	condition	DM2	-1.45531603968352	0.220766110181866	192	190	4.17323774367345e-10	1.11020851753853e-08
Thermomicrobium.roseum	condition	DM2	-1.55042828840155	0.23501558383454	192	191	4.06890400685161e-10	1.11020851753853e-08
Nocardia.farcinica	condition	DM2	-1.66478914302698	0.253348150778997	192	192	4.68483882220704e-10	1.19676337185471e-08
