"ERR1912950"	"ERR1912951"	"ERR1912952"	"ERR1912954"	"ERR1912955"	"ERR1912958"	"ERR1912961"	"ERR1912962"	"ERR1912963"	"ERR1912964"	"ERR1912967"	"ERR1912971"	"ERR1912972"	"ERR1912973"	"ERR1912974"	"ERR1912976"	"ERR1912977"	"ERR1912978"	"ERR1912980"	"ERR1912981"	"ERR1912982"	"ERR1912989"	"ERR1912992"	"ERR1912994"	"ERR1913001"	"ERR1913002"	"ERR1913004"	"ERR1913011"	"ERR1913013"	"ERR1913015"	"ERR1913017"	"ERR1913018"	"ERR1913020"	"ERR1913021"	"ERR1913022"	"ERR1913024"	"ERR1913026"	"ERR1913027"	"ERR1913030"	"ERR1913031"	"ERR1913035"	"ERR1913040"	"ERR1913041"	"ERR1913042"	"ERR1913044"	"ERR1913045"	"ERR1913046"	"ERR1913049"	"ERR1913055"	"ERR1913056"	"ERR1913061"	"ERR1913066"	"ERR1913067"	"ERR1913072"	"ERR1913074"	"ERR1913077"	"ERR1913079"	"ERR1913081"	"ERR1913082"	"ERR1913086"	"ERR1913089"	"ERR1913096"	"ERR1913099"	"ERR1913100"	"ERR1913101"	"ERR1913104"	"ERR1913105"	"ERR1913107"	"ERR1913108"	"ERR1913111"	"ERR1913112"	"ERR1913113"	"ERR1913114"	"ERR1913116"	"ERR1913117"	"ERR1913118"	"ERR1913121"	"ERR1913122"	"ERR1913125"	"ERR1913126"	"ERR1913127"	"SRR15852922"	"SRR15852923"	"SRR15852925"	"SRR15852928"	"SRR15852930"	"SRR15852932"	"SRR15852934"	"SRR15852937"	"SRR15852939"	"SRR15852940"	"SRR15852941"	"SRR15852943"	"SRR15852945"	"SRR15852948"	"SRR15852950"	"SRR15852951"	"SRR15852952"	"SRR15852954"	"SRR15852955"	"SRR15852956"	"SRR15852957"	"SRR15852960"	"SRR15852962"	"SRR15852963"	"SRR15852967"	"SRR15852968"	"SRR15852969"	"SRR15852972"	"SRR15852982"	"SRR15852986"	"SRR15852987"	"SRR15852988"	"SRR15852989"	"SRR15852990"	"SRR15852992"	"SRR15852993"	"SRR15852994"	"SRR15852995"	"SRR15852997"	"SRR15852998"	"SRR15853000"	"SRR15853001"	"SRR15853002"	"SRR15853005"	"SRR15853007"	"SRR15853009"	"SRR15853010"	"SRR15853011"	"SRR15853012"	"SRR15853017"	"SRR15853024"	"SRR15853025"	"SRR15853026"	"SRR15853027"	"SRR15853028"
53761	43961	42986	41586	42429	55900	67277	90017	76097	47030	71539	10205	30875	30093	30605	39777	53645	45229	19883	19745	20051	180600	35700	32794	68283	13186	12767	53266	51546	14525	55418	55538	54985	51651	52607	43214	135222	134092	156430	132731	45161	6626	6484	6272	20131	26851	22693	31609	46205	38337	29181	89188	88610	38676	24764	35908	35917	42793	42638	45155	86416	19498	19516	83907	81080	41360	41643	41187	21550	46051	44883	44607	44425	42279	53202	44873	34895	5663	5458	42305	46102	241110	245032	316078	209848	282880	109795	249850	291256	345416	94051	196402	387683	903514	169898	156002	319910	61508	442357	151996	241857	220632	176493	462114	329447	196296	220224	121065	231512	198678	123555	146408	51142	291361	139967	304990	149332	153590	413612	177564	251341	84056	113585	197079	238455	183951	268081	186444	465548	335604	421282	518266	218300	195621	78156	164419
13	10	0	12	18	35	0	0	0	28	42	0	90	116	111	0	0	0	56	42	45	0	7	0	74	0	0	15	17	0	0	6	0	0	0	0	17	27	17	15	0	19	16	16	41	48	53	13	18	8	90	26	24	0	151	293	294	0	0	0	18	39	49	27	27	20	16	22	8	16	18	20	17	0	0	0	120	0	0	16	10	0	0	67	68	60	0	267	0	1764	56	28	170	89	0	0	180	159	92	592	682	49	51	190	1003	364	618	0	0	0	56	0	0	482	183	0	36	32	637	0	71	48	0	0	100	254	119	660	277	310	42	84	0	340	411	320
23639	19654	19163	7210	7480	11241	15924	21218	17807	9267	30965	4785	10210	10017	10212	7914	10901	9119	7129	6634	6810	48248	16409	3907	19597	3385	3353	13233	13020	4857	10663	10829	10748	9805	10019	8228	14498	14345	35620	30445	13722	1905	1939	1882	5551	7627	6183	6162	10312	8398	6221	24201	24429	10707	6225	15174	15052	9907	10162	10875	12864	8607	8155	19483	19013	15207	15290	15211	9017	13910	13854	13541	13523	13609	17225	14685	14637	4915	4785	10286	17431	79196	43783	76182	48648	64809	53050	58736	168234	100803	35877	53736	115967	185683	63693	53911	68889	20431	116071	44675	63110	65899	41410	86386	103631	57969	75775	23468	61162	59113	38429	63060	13215	75876	55019	83114	43286	38139	85501	54368	73565	24202	28306	58698	69301	53033	75081	41346	89043	71511	92877	78095	55612	61821	29184	60415
217	183	174	144	200	1154	193	269	237	175	169	24	125	167	159	249	334	225	39	40	47	552	894	94	157	133	131	73	61	51	194	203	224	172	205	155	676	652	462	418	153	38	43	44	94	111	84	183	55	35	84	202	229	197	94	92	100	148	130	144	387	37	35	112	118	218	209	201	60	98	96	101	96	711	710	662	132	228	208	249	222	669	560	1417	663	4361	926	3695	1890	3894	645	643	2758	2533	616	418	747	135	2648	727	1644	1205	478	2605	486	528	332	598	676	1069	448	604	70	766	1123	1285	819	1406	637	1011	2703	167	590	985	525	540	663	3129	794	903	1171	540	792	724	292	597
14608	12631	12690	29473	28988	31901	14611	18960	15969	6944	9256	2421	8855	8781	8637	22512	29107	24143	11632	11417	11645	18335	12828	11667	30332	14987	14436	15002	15071	987	15074	15093	14626	11738	12603	10830	16291	15828	124257	105502	46805	10593	10313	10368	13523	17210	14198	5527	5600	4605	16377	31918	31040	50617	11853	45346	44898	29196	28796	9798	32495	10866	10534	13156	13093	45811	45336	44940	48538	32018	31002	31076	31014	37322	44819	37964	26140	8643	8250	23119	10372	40589	148395	328414	167639	83384	60811	146921	387048	169364	65146	69865	133632	133569	55283	603564	232333	19443	138064	16143	265663	220498	68805	146817	85541	37058	47700	56872	336345	151949	345817	51719	6156	169823	82884	149867	149780	37663	110252	97978	413925	82525	10722	72970	84522	72663	74217	91101	132671	134550	183410	62103	44791	452761	39984	58545
11	8	0	79	83	165	7	11	10	7	0	10	0	0	0	0	0	0	7	8	8	67	7	8	9	7	8	61	47	0	11	9	12	56	62	55	17	14	90	70	25	0	0	0	9	21	10	15	0	0	17	38	47	10	0	10	9	14	14	108	10	8	0	16	11	6	0	0	6	23	27	25	28	60	57	41	0	15	13	10	59	30	126	94	151	94	174	539	73	158	41	105	171	74	123	330	550	152	97	89	97	173	33	91	335	75	443	95	77	142	134	47	0	126	174	79	47	67	168	62	258	42	128	46	396	89	33	92	133	64	48	126	28	74	65	69
16	14	10	45	31	323	129	162	133	26	24	17	29	27	31	27	61	38	80	78	70	236	81	38	117	162	168	86	86	11	75	57	77	48	45	52	67	61	136	127	32	27	41	30	71	129	81	23	25	15	36	82	65	152	81	47	62	583	582	74	57	29	27	43	40	153	138	129	127	61	76	80	68	117	152	112	95	67	74	131	104	389	1683	497	789	351	172	251	1443	388	109	147	310	577	378	1437	266	109	779	186	332	1061	175	448	1029	425	202	93	903	585	482	287	87	889	485	806	694	127	657	433	984	61	79	450	599	217	297	191	456	544	600	166	136	1058	104	267
5601	4598	4614	12168	12443	5421	4305	5577	4799	3182	7646	3627	10703	10554	10534	2102	2803	2402	2608	2535	2625	20101	1421	1145	1954	2588	2509	2913	2882	2819	2937	2835	2937	1819	1942	1691	2260	2149	11529	9858	5347	651	620	701	1666	2162	1767	773	2315	1847	1547	14998	14724	3266	1811	2313	2151	5222	5188	3021	4800	2318	2315	7388	7189	3933	4004	3956	2995	5854	5590	5645	5531	5164	6513	5479	2112	1136	1046	2749	2972	23594	42873	31013	20186	25682	11116	21172	27807	72754	11174	12762	28847	57823	15207	29778	23055	5612	35405	10612	24020	31508	11812	50141	14579	27996	9775	19736	15130	25384	14096	12503	11116	17116	19949	35832	11950	9916	35149	25090	32968	6313	8681	15721	74936	20510	13171	11383	14627	20784	15442	9740	18876	18023	5967	13735
76	63	51	76	75	294	242	316	280	80	70	71	56	82	71	120	147	152	174	164	202	252	114	99	182	201	157	53	56	122	120	121	125	158	155	137	102	93	294	271	120	21	16	13	186	266	204	111	110	68	326	304	351	469	104	217	194	89	99	127	165	76	80	160	185	213	212	204	223	265	260	203	236	488	663	493	250	61	49	136	314	887	2559	876	415	498	396	1003	1391	619	300	654	757	905	738	1099	3309	458	614	443	1285	734	312	986	1334	3597	926	397	881	512	3513	413	1030	406	548	1624	596	252	1020	1032	1706	320	318	669	435	2184	574	321	4668	1545	910	196	485	979	809	762
52	57	58	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	114	0	0	0	17	0	0	0	0	0	0	0	37	35	43	0	0	34	0	0	22	0	19	0	0	0	0	0	0	0	19	0	13	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	26	34	0	55	98	211	266	181	72	0	76	357	0	0	147	95	154	1251	357	0	0	315	71	101	1090	80	397	90	0	0	290	122	228	0	81	102	101	173	1154	0	61	180	995	792	0	286	314	408	93	0	179	138	248	505	105	86	0	395	0
