"feature"	"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"
"UniRef90_A0A174E8J1"	"condition"	"CRC"	-1.70732265704085	0.229493000959078	300	184	1.13141569827558e-12	6.23873930186137e-08
"UniRef90_A0A174BZB3"	"condition"	"CRC"	-0.977283783302833	0.138394443316866	300	38	1.17201708550123e-11	3.23130970558117e-07
"UniRef90_A0A174MDE8"	"condition"	"CRC"	-1.68315089923583	0.243363207099714	300	240	2.92362643661834e-11	4.0302921335393e-07
"UniRef90_A0A174NS35"	"condition"	"CRC"	-1.87978411715911	0.271703631183271	300	121	2.80642740942102e-11	4.0302921335393e-07
"UniRef90_A0A174RDH8"	"condition"	"CRC"	-1.76636823619976	0.257830877925429	300	224	4.25712535051355e-11	4.69484297905335e-07
"UniRef90_A0A0T5XMK9"	"condition"	"CRC"	1.03949436568303	0.152922965420934	300	104	5.9057999486514e-11	5.42752858280978e-07
"UniRef90_A0A173VS14"	"condition"	"CRC"	-1.53356898436874	0.227993751954181	300	166	9.22613124117487e-11	7.2676871824232e-07
"UniRef90_A0A0M6WL63"	"condition"	"CRC"	-1.45934322179811	0.221587170472889	300	233	2.08830193849249e-10	1.04682779264013e-06
"UniRef90_A0A139JZX3"	"condition"	"CRC"	1.48160974529621	0.224849126349052	300	173	2.0250246336509e-10	1.04682779264013e-06
"UniRef90_A0A174T1T5"	"condition"	"CRC"	1.63256365337087	0.246173518055519	300	182	1.58354769078492e-10	1.04682779264013e-06
"UniRef90_A0A174W5Z4"	"condition"	"CRC"	-2.49108172889296	0.376666043812339	300	163	1.75160398881393e-10	1.04682779264013e-06
"UniRef90_A0A173W330"	"condition"	"CRC"	-2.04057128098382	0.312158217907383	300	176	2.72523942021663e-10	1.25227022391804e-06
"UniRef90_A0A174VRE0"	"condition"	"CRC"	-1.00209531190984	0.153637671924031	300	33	2.96520956956233e-10	1.25772785288644e-06
"UniRef90_A0A0A2FIM7"	"condition"	"CRC"	1.52162168819026	0.240625133000835	300	163	9.41928079037357e-10	3.70991830044278e-06
"UniRef90_A0A173ZXA8"	"condition"	"CRC"	-1.45597675328091	0.231145375020034	300	209	1.07817947937103e-09	3.96345964479987e-06
"UniRef90_A0A174SUJ5"	"condition"	"CRC"	1.35188463423631	0.216291980243488	300	172	1.43165997228763e-09	4.93394765824452e-06
"UniRef90_A0A139KFT8"	"condition"	"CRC"	1.55898062782436	0.251365282750503	300	139	1.87105116428848e-09	6.06891954411946e-06
"UniRef90_A0A139KS49"	"condition"	"CRC"	1.58987680770726	0.258184175430026	300	140	2.39543320160559e-09	6.9519253773544e-06
"UniRef90_A0A1H7P0I4"	"condition"	"CRC"	1.40704197811774	0.22832284831552	300	180	2.35015295309027e-09	6.9519253773544e-06
"UniRef90_A0A174SAQ6"	"condition"	"CRC"	1.11725168095489	0.18186349714233	300	154	2.60804982703223e-09	7.19052377561922e-06
"UniRef90_A0A015VYL5"	"condition"	"CRC"	1.40281308129405	0.22952358755084	300	130	3.09266212049137e-09	7.75147645390977e-06
"UniRef90_A0A016FVS2"	"condition"	"CRC"	1.27118353307611	0.207801823836178	300	79	2.98701948899458e-09	7.75147645390977e-06
"UniRef90_A0A078R8J5"	"condition"	"CRC"	1.56378799339396	0.257449414621369	300	176	3.84279919380983e-09	8.82899126441115e-06
"UniRef90_A0A146R6C9"	"condition"	"CRC"	1.64294441536876	0.270401841402776	300	76	3.76517916787595e-09	8.82899126441115e-06
"UniRef90_A0A174C762"	"condition"	"CRC"	-0.603851712994613	0.0997205844599423	300	35	4.21520871481561e-09	9.29723294974591e-06
"UniRef90_A0A174EF34"	"condition"	"CRC"	1.10653174826668	0.183055554265602	300	150	4.4954073840275e-09	9.53389456010233e-06
