"feature"	"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"
"UniRef90_R5SGH5"	"condition"	"DM2"	-1.61690715629052	0.147514837588558	192	70	5.81358208285168e-22	1.35690749888383e-16
"UniRef90_A0A095XNF2"	"condition"	"DM2"	-2.28478811091767	0.218184977714516	192	169	1.50840561080622e-20	1.23366235323789e-15
"UniRef90_C0ESU6"	"condition"	"DM2"	-1.56177758581162	0.149154298049272	192	50	1.58566387737676e-20	1.23366235323789e-15
"UniRef90_U2DM65"	"condition"	"DM2"	-1.68215936254356	0.164621111970026	192	60	8.59558832294362e-20	5.01559025335002e-15
"UniRef90_C0EWA4"	"condition"	"DM2"	-1.97589063752556	0.198292251376902	192	176	4.41170116228308e-19	2.05940857276071e-14
"UniRef90_A0A3E4GPR0"	"condition"	"DM2"	-1.47209596902268	0.153687588424246	192	59	5.87769450440039e-18	2.28645255068427e-13
"UniRef90_A0A173SVR2"	"condition"	"DM2"	-1.28497164685599	0.13475665383445	192	57	7.53711444174905e-18	2.51312160292508e-13
"UniRef90_A5ZQA7"	"condition"	"DM2"	-1.98326484852726	0.208516511355143	192	167	8.63340777780485e-18	2.51882909445373e-13
"UniRef90_D5HHS2"	"condition"	"DM2"	-1.59792588737548	0.168201311850578	192	59	9.76369933891182e-18	2.53208524088893e-13
"UniRef90_A0A174T7I9"	"condition"	"DM2"	-1.82708017896246	0.194975426130924	192	176	2.15042493932105e-17	4.18263026760292e-13
"UniRef90_D4L219"	"condition"	"DM2"	-1.64129624950509	0.175045169469709	192	57	2.13064742519261e-17	4.18263026760292e-13
"UniRef90_D4LP03"	"condition"	"DM2"	-1.66101515214	0.176692974670717	192	155	1.80189044726942e-17	4.18263026760292e-13
"UniRef90_A0A174UWD6"	"condition"	"DM2"	-1.80939001767167	0.193465223756106	192	77	2.51447949727388e-17	4.51451583155549e-13
"UniRef90_D4L0H9"	"condition"	"DM2"	-1.35412446081701	0.145120756365859	192	69	2.89438044940441e-17	4.8254077145167e-13
"UniRef90_A6BGE2"	"condition"	"DM2"	-1.7508435773819	0.188208313751119	192	75	3.47748348529361e-17	5.41103385278656e-13
"UniRef90_A0A174HSZ2"	"condition"	"DM2"	-1.70331542890496	0.184277234607009	192	47	5.0074177393509e-17	6.33459326700867e-13
"UniRef90_A0A174TQW7"	"condition"	"DM2"	-2.37437704621517	0.256517623790133	192	111	4.51260029718059e-17	6.33459326700867e-13
"UniRef90_B0NZ42"	"condition"	"DM2"	-1.98740623370131	0.215192100482737	192	177	5.15662918099444e-17	6.33459326700867e-13
"UniRef90_C6JGN9"	"condition"	"DM2"	-1.91174943810944	0.206597992764605	192	87	4.65917156538193e-17	6.33459326700867e-13
"UniRef90_A0A174WXJ6"	"condition"	"DM2"	-1.8752517358389	0.204906730589122	192	156	8.84083154147739e-17	9.82607906797832e-13
"UniRef90_R7GY78"	"condition"	"DM2"	-1.51882773704155	0.165905742179228	192	157	8.69516720871778e-17	9.82607906797832e-13
"UniRef90_A0A174B360"	"condition"	"DM2"	-1.48352956505642	0.164246587825963	192	57	1.93756444958231e-16	1.96623197924287e-12
"UniRef90_D4JJS1"	"condition"	"DM2"	-1.49848023970286	0.165762786194616	192	48	1.89229787957431e-16	1.96623197924287e-12
"UniRef90_A0A173WVE9"	"condition"	"DM2"	-1.341727478785	0.149274090406827	192	66	2.60420805318343e-16	2.52434838525593e-12
"UniRef90_A8SV00"	"condition"	"DM2"	-1.90293159981152	0.211975529525498	192	167	2.70385169134065e-16	2.52434838525593e-12
"UniRef90_C6JDK2"	"condition"	"DM2"	-1.89954364591427	0.21175761710842	192	174	2.82300346470435e-16	2.53422106797073e-12
"UniRef90_U2CRZ1"	"condition"	"DM2"	-1.57667343713241	0.175958480405883	192	169	3.00659319509456e-16	2.59906619079502e-12
"UniRef90_A0A174XPT9"	"condition"	"DM2"	-1.28474020101798	0.143688185502102	192	56	3.52322311080199e-16	2.93689587046613e-12
"UniRef90_C0CL71"	"condition"	"DM2"	-1.7196542951284	0.1929399623217	192	178	4.07083222848454e-16	3.16714818208325e-12
"UniRef90_D4L225"	"condition"	"DM2"	-1.38915201332455	0.155666316781626	192	56	3.96178510128727e-16	3.16714818208325e-12
"UniRef90_A0A173ZHN1"	"condition"	"DM2"	-1.75054523926904	0.19880746610684	192	112	8.07562476288954e-16	5.15697518483573e-12
"UniRef90_A0A174E6X3"	"condition"	"DM2"	-1.52810287865321	0.173588233349903	192	154	8.17504838579289e-16	5.15697518483573e-12
"UniRef90_A0A174LTC0"	"condition"	"DM2"	-1.83106650847449	0.207599283896447	192	89	7.51675724595638e-16	5.15697518483573e-12
"UniRef90_A0A174XJ79"	"condition"	"DM2"	-1.65762446935304	0.188083525305003	192	154	7.66352853210229e-16	5.15697518483573e-12
"UniRef90_A0A174XXV9"	"condition"	"DM2"	-1.56371145203433	0.17749698718436	192	69	8.13839154455888e-16	5.15697518483573e-12
"UniRef90_C7H882"	"condition"	"DM2"	-1.85269915091208	0.209762674473411	192	74	6.96358645590157e-16	5.15697518483573e-12
"UniRef90_D5HHR8"	"condition"	"DM2"	-1.30008772446859	0.147285321724269	192	56	7.25862214600304e-16	5.15697518483573e-12
"UniRef90_D4L0H2"	"condition"	"DM2"	-1.34573539213004	0.153028864113778	192	68	8.98277721029837e-16	5.51738723477703e-12
"UniRef90_C6JCL5"	"condition"	"DM2"	-1.69916886042145	0.193644983532774	192	128	9.78241718129499e-16	5.85447568555332e-12
"UniRef90_U2CXG3"	"condition"	"DM2"	-1.68471719453962	0.192087167346387	192	80	1.02119182603235e-15	5.95873089428574e-12
"UniRef90_B0NZ62"	"condition"	"DM2"	-1.66086396465978	0.189906432112554	192	183	1.17469220914845e-15	6.68723623638719e-12
"UniRef90_D4L0H3"	"condition"	"DM2"	-1.20360217396249	0.138209419549986	192	60	1.49870622790097e-15	8.32863165978025e-12
"UniRef90_D4L151"	"condition"	"DM2"	-1.84594776646872	0.212208556584791	192	174	1.60173682614038e-15	8.69419024259633e-12
"UniRef90_A0A174XZ57"	"condition"	"DM2"	-1.24456395195487	0.143098271011331	192	52	1.65271819512798e-15	8.7670314749422e-12
"UniRef90_F7V5P9"	"condition"	"DM2"	-1.80376982526394	0.208073664255319	192	125	1.91978445410065e-15	9.95741002089897e-12
