"feature"	"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"
"UniRef90_F4SLA5"	"condition"	"DM2"	2.55655673260472	0.309745407152211	192	75	2.56845853857704e-14	4.69261233082753e-11
"UniRef90_P0A0C2"	"condition"	"DM2"	2.01129394379647	0.247166864421892	192	137	5.3336966796969e-14	7.63742825847421e-11
"UniRef90_C8WJV1"	"condition"	"DM2"	1.90148842551385	0.251327958501513	192	136	1.61956906518743e-12	6.58557976519062e-10
"UniRef90_A7ZUL2"	"condition"	"DM2"	2.28818963343653	0.303556867280052	192	90	1.90137613873298e-12	7.30970593196762e-10
"UniRef90_A0A3E5E249"	"condition"	"DM2"	2.06937038254544	0.277105990801261	192	145	2.93891667918554e-12	9.79931385245633e-10
"UniRef90_D4WB92"	"condition"	"DM2"	2.49533753038679	0.334428912602743	192	109	3.03157726130316e-12	1.00131818726654e-09
"UniRef90_A0A0A0GZ33"	"condition"	"DM2"	2.28948308994083	0.312148483145953	192	86	6.25879609236896e-12	1.59889424390948e-09
"UniRef90_A0A396EN76"	"condition"	"DM2"	2.31349294653246	0.316635251176554	192	153	7.37531073272518e-12	1.78751382815978e-09
"UniRef90_F4V8B8"	"condition"	"DM2"	2.49886910808056	0.344238956094604	192	103	9.72568165006455e-12	2.15574859845206e-09
"UniRef90_A0A1D7PV13"	"condition"	"DM2"	2.66507037368077	0.367660508175191	192	156	1.0299199402522e-11	2.23124280934707e-09
"UniRef90_A0A192CHD0"	"condition"	"DM2"	2.31545079587227	0.319482744867084	192	96	1.03723725638111e-11	2.23954012350713e-09
"UniRef90_A0A374MQI6"	"condition"	"DM2"	2.23290132458516	0.310181200726099	192	158	1.37462905520778e-11	2.72263546101231e-09
"UniRef90_A0A396DW24"	"condition"	"DM2"	1.90820560047174	0.265615372279653	192	129	1.52156112800883e-11	2.90022590952722e-09
"UniRef90_P59787"	"condition"	"DM2"	1.7746031301006	0.248112440377897	192	131	1.82666608399513e-11	3.25955155965378e-09
"UniRef90_P62524"	"condition"	"DM2"	2.49438901604435	0.349610757121332	192	117	1.98603404625e-11	3.45414533902301e-09
"UniRef90_A0A174WNT5"	"condition"	"DM2"	1.49482244868816	0.210066168194456	192	90	2.21060233102155e-11	3.72172730585959e-09
"UniRef90_A0A3A9LA00"	"condition"	"DM2"	2.07613623814319	0.291655383266792	192	125	2.21208863648217e-11	3.72172730585959e-09
"UniRef90_F4TAS3"	"condition"	"DM2"	2.23083417458059	0.314475663888076	192	79	2.50901498463226e-11	4.09141883395513e-09
"UniRef90_A0A2R9W6D8"	"condition"	"DM2"	2.242443141585	0.3161862922674	192	96	2.53998235340917e-11	4.12266690704284e-09
"UniRef90_A0A135PUB0"	"condition"	"DM2"	1.61663982464029	0.228273233199119	192	63	2.68369932457978e-11	4.26934945812095e-09
"UniRef90_A7ZQN8"	"condition"	"DM2"	2.21088927610804	0.315476804812894	192	92	4.08895908132445e-11	5.68418890088368e-09
"UniRef90_F4SJB6"	"condition"	"DM2"	2.1879909462846	0.313485491516276	192	81	4.80829393329133e-11	6.38378969802046e-09
"UniRef90_A0A1Y2XNA5"	"condition"	"DM2"	1.7677675463536	0.254552568887279	192	88	5.86580143831145e-11	7.29017919651868e-09
"UniRef90_K0X0S2"	"condition"	"DM2"	1.70140103454311	0.245073064183313	192	162	5.93006982602267e-11	7.35829924297272e-09
"UniRef90_D6IBY9"	"condition"	"DM2"	2.05009850117521	0.29603752836023	192	103	6.55003391771694e-11	7.87847930616663e-09
"UniRef90_A0A192CF11"	"condition"	"DM2"	2.18321247341448	0.315319484180603	192	99	6.59875989667887e-11	7.91454448183216e-09
"UniRef90_A7ZV89"	"condition"	"DM2"	2.28780628807681	0.330781717717339	192	103	6.87327892266767e-11	8.11875279162456e-09
"UniRef90_A0A125X8L8"	"condition"	"DM2"	1.88115749563288	0.272137480559238	192	156	7.01960088472454e-11	8.24972761982559e-09
"UniRef90_A0A3A9LSZ9"	"condition"	"DM2"	1.93589844366643	0.280496812328048	192	122	7.55564371930396e-11	8.67869050697196e-09
"UniRef90_A0A0A0F7Q4"	"condition"	"DM2"	2.32057596395947	0.337546077559023	192	95	8.68055635275228e-11	9.55602708761878e-09
