"feature"	"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"
"PWY-5022"	"condition"	"DM2"	2.31734624664585	0.31102860877967	192	113	3.17844782021195e-12	1.31587739756775e-09
"PWY-7204"	"condition"	"DM2"	2.39915713792644	0.338802379897856	192	112	2.69587610823471e-11	5.58046354404585e-09
"PWY-6961"	"condition"	"DM2"	2.31031437167634	0.338308420126007	192	130	1.12176280544663e-10	1.54803267151635e-08
"METH-ACETATE-PWY"	"condition"	"DM2"	-1.38662156681488	0.207553843795044	192	185	2.55780645542117e-10	2.64732968136091e-08
"PWY-6823"	"condition"	"DM2"	-0.724944459893341	0.110332454859844	192	192	4.68926182294568e-10	3.88270878939902e-08
"PWY-5497"	"condition"	"DM2"	1.49833333791914	0.231223537451555	192	167	7.68038708757737e-10	4.54240036322433e-08
"PWY0-1241"	"condition"	"DM2"	1.12686977078437	0.173800665884679	192	189	7.52825802206198e-10	4.54240036322433e-08
"PWY-5675"	"condition"	"DM2"	1.9506526894082	0.319893991432771	192	124	5.89931304439775e-09	2.6905536451163e-07
"PWY-5918"	"condition"	"DM2"	1.76189886934967	0.289837965934639	192	150	6.49892184810701e-09	2.6905536451163e-07
"PWY-5972"	"condition"	"DM2"	1.40989065359485	0.23105671352269	192	81	5.78075587293447e-09	2.6905536451163e-07
"PWY-5920"	"condition"	"DM2"	1.92572773497628	0.324104250063593	192	119	1.32324027406952e-08	4.98019521331619e-07
"PWY-561"	"condition"	"DM2"	2.3700363177646	0.400868849269496	192	125	1.53927216576269e-08	5.31048897188127e-07
"PWY-5392"	"condition"	"DM2"	1.19667685400364	0.204018914933018	192	58	1.9548829035305e-08	5.99220844500073e-07
"PWY0-461"	"condition"	"DM2"	1.42404371104253	0.243637204115545	192	76	2.17109001630461e-08	5.99220844500073e-07
"TCA"	"condition"	"DM2"	2.0819750313424	0.355954229495974	192	126	2.1266585081797e-08	5.99220844500073e-07
"PWY-5136"	"condition"	"DM2"	1.62195350752187	0.283884084173703	192	183	4.21956013514574e-08	7.50559283730899e-07
"PWY-5656"	"condition"	"DM2"	1.92466619047713	0.335298799879232	192	101	3.68961283526476e-08	7.50559283730899e-07
"PWY-5723"	"condition"	"DM2"	2.25634222396878	0.395452977847615	192	142	4.38851971637388e-08	7.50559283730899e-07
"PWY-7094"	"condition"	"DM2"	1.5611509616802	0.270364761882459	192	82	3.10710884073286e-08	7.50559283730899e-07
"PWY-7340"	"condition"	"DM2"	1.07608342152415	0.187590518818346	192	85	3.76100529832588e-08	7.50559283730899e-07
"PWY-7807"	"condition"	"DM2"	1.46210572546286	0.2554226541921	192	57	3.9964425047652e-08	7.50559283730899e-07
"PWY0-1337"	"condition"	"DM2"	1.59820464110891	0.276632045013308	192	84	3.05842332857418e-08	7.50559283730899e-07
"PWY0-301"	"condition"	"DM2"	2.03955354621703	0.35785419633824	192	137	4.53236282446195e-08	7.50559283730899e-07
"PWY4LZ-257"	"condition"	"DM2"	1.41843892199831	0.248431121711475	192	182	4.30180831059833e-08	7.50559283730899e-07
"TCA-GLYOX-BYPASS"	"condition"	"DM2"	1.96577105129301	0.344825182946705	192	120	4.49598822576095e-08	7.50559283730899e-07
"PWY-7385"	"condition"	"DM2"	1.83536259397559	0.324149502665638	192	96	5.45498536068826e-08	8.68601515124977e-07
