"feature"	"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"
"GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation"	"condition"	"PD"	-0.412321357162809	0.122566366129601	136	136	0.00100183233011366	0.120783303684804
"P108.PWY..pyruvate.fermentation.to.propanoate.I"	"condition"	"PD"	-0.862531821806476	0.259859457381612	136	60	0.00116482984613516	0.120783303684804
"PWY.5505..L.glutamate.and.L.glutamine.biosynthesis"	"condition"	"PD"	-0.605312092402108	0.185605918239057	136	134	0.00140795414886607	0.120783303684804
"PWY.6969..TCA.cycle.V..2.oxoglutarate.synthase."	"condition"	"PD"	0.553850146428764	0.151346268140249	136	135	0.000362344701625032	0.120783303684804
"PWY.7315..dTDP.N.acetylthomosamine.biosynthesis"	"condition"	"PD"	-1.42638958957235	0.439518904511488	136	82	0.00148382436959218	0.120783303684804
"GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation"	"condition"	"PD"	-0.576089535093628	0.193378829000371	136	62	0.00343762951686585	0.17023197831847
"PWY.6151..S.adenosyl.L.methionine.salvage.I"	"condition"	"PD"	-0.202162076066073	0.0715332860525229	136	136	0.00543738505685531	0.17023197831847
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered."	"condition"	"PD"	-0.276097257692702	0.0938180108669893	136	136	0.00383315644839785	0.17023197831847
"PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol."	"condition"	"PD"	0.819679002598858	0.285941334335294	136	125	0.00482482629502442	0.17023197831847
"PWY.7883..anhydromuropeptides.recycling.II"	"condition"	"PD"	-0.816742649842929	0.280982040431961	136	64	0.00427980007079477	0.17023197831847
"PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation"	"condition"	"PD"	-0.987613658487832	0.325844603060922	136	122	0.00293000516907453	0.17023197831847
"PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic."	"condition"	"PD"	-0.360907161910732	0.126570971268055	136	136	0.00504223568896803	0.17023197831847
"PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic."	"condition"	"PD"	-0.360907161910732	0.126570971268055	136	136	0.00504223568896803	0.17023197831847
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis"	"condition"	"PD"	-0.244231673475513	0.0959372014932313	136	136	0.0120416934095142	0.244343586163399
"FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage"	"condition"	"PD"	-0.884556403835442	0.35079694485092	136	88	0.0128631727860957	0.244343586163399
"PPGPPMET.PWY..ppGpp.metabolism"	"condition"	"PD"	-0.695106802876253	0.278541615631888	136	116	0.0137977074055955	0.244343586163399
"PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis"	"condition"	"PD"	-0.680189708159024	0.272496649784527	136	53	0.0137772607272154	0.244343586163399
"PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II"	"condition"	"PD"	-0.327103319200946	0.125620365545041	136	136	0.0102563721499511	0.244343586163399
"PWY.6609..adenine.and.adenosine.salvage.III"	"condition"	"PD"	-0.150394565593877	0.0576873999824953	136	136	0.0101733759400499	0.244343586163399
"PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis"	"condition"	"PD"	-0.833488797544321	0.321868898138594	136	87	0.0106803186824121	0.244343586163399
"PWY.7242..D.fructuronate.degradation"	"condition"	"PD"	-0.31030950778259	0.122253504190956	136	136	0.0122850391859946	0.244343586163399
"PWY0.1296..purine.ribonucleosides.degradation"	"condition"	"PD"	-0.244742544985473	0.0978233683537562	136	136	0.0135570975553372	0.244343586163399
"PWY66.409..superpathway.of.purine.nucleotide.salvage"	"condition"	"PD"	-0.890760563408811	0.356980600665501	136	114	0.013808114205794	0.244343586163399
