"feature"	"metadata"	"value"	"coef"	"stderr"	"N"	"N.not.0"	"pval"	"qval"
"Fusobacterium.nucleatum"	"condition"	"CRC"	1.45847331255603	0.309703982729324	300	49	3.82497176306586e-06	0.0027818711956365
"Clostridium.sporogenes"	"condition"	"CRC"	-1.10330432398317	0.237347364034897	300	38	5.03050849120525e-06	0.0027818711956365
"Streptomyces.sp..ZYC.3"	"condition"	"CRC"	-0.493815612197025	0.109232053163751	300	32	8.90971780192748e-06	0.00328471596297727
"Streptomyces.sp..3211"	"condition"	"CRC"	-1.04014041897258	0.240676858739334	300	148	2.11495027398509e-05	0.00584783750756876
"Komagataeibacter.rhaeticus"	"condition"	"CRC"	1.4063838030586	0.344119080801005	300	121	5.64076629472448e-05	0.0124773750439305
"Thalassobius.gelatinovorus"	"condition"	"CRC"	-0.59878124809499	0.148661778992072	300	47	7.15908838023596e-05	0.0126109537238289
"Clostridium.butyricum"	"condition"	"CRC"	-0.965713437996787	0.241375845519436	300	286	7.98161628090436e-05	0.0126109537238289
"Prevotella.sp..oral.taxon.299"	"condition"	"CRC"	-0.986438280900247	0.251635115625401	300	286	0.000109947183082319	0.0152001980611306
"Peptoclostridium.acidaminophilum"	"condition"	"CRC"	-1.07129877907226	0.278722769304043	300	285	0.000148430111954198	0.0169957736208406
"Mycoplasmopsis.cynos"	"condition"	"CRC"	-1.08779269420935	0.283677971288929	300	276	0.000153668839248106	0.0169957736208406
"Escherichia.coli"	"condition"	"CRC"	0.670330947063905	0.185636799328844	300	300	0.000357792607149457	0.0268722106789922
"Pseudomonas.chlororaphis"	"condition"	"CRC"	-1.17858583515347	0.32195876828595	300	268	0.000297503227260954	0.0268722106789922
"Pseudomonas.luteola"	"condition"	"CRC"	-1.39419364503983	0.388752621112919	300	148	0.000391805594326692	0.0268722106789922
"Legionella.adelaidensis"	"condition"	"CRC"	-0.680774948988578	0.191132649216549	300	286	0.000428930736926068	0.0268722106789922
"Methylobacterium.currus"	"condition"	"CRC"	-0.991774139833778	0.276340445117728	300	151	0.000388296836406061	0.0268722106789922
"Arcobacter.cloacae"	"condition"	"CRC"	-1.00567394025017	0.28038946901254	300	83	0.000391373321520511	0.0268722106789922
"Allocoleopsis.franciscana"	"condition"	"CRC"	-0.935664113025677	0.263077966836549	300	284	0.000437341584287395	0.0268722106789922
"Natronorubrum.bangense"	"condition"	"CRC"	-0.933777671073953	0.254266145894051	300	179	0.00028508946741731	0.0268722106789922
"Fibrisoma.limi"	"condition"	"CRC"	-0.587223058746218	0.166218735711782	300	51	0.000476712090752541	0.0277496617038058
"Pseudochrobactrum.sp..XF203"	"condition"	"CRC"	-1.07574868933725	0.312253564860832	300	171	0.000653056743600422	0.0277800291700795
"Butyricicoccus.sp..GAM44"	"condition"	"CRC"	-1.26696850954068	0.364912047464494	300	259	0.000594039385458343	0.0277800291700795
"Paenibacillus.cellulosilyticus"	"condition"	"CRC"	-0.742005285270495	0.212430712188647	300	286	0.000550546530260825	0.0277800291700795
"Paenibacillus.sp..37"	"condition"	"CRC"	-0.907131361316154	0.259542897118941	300	279	0.0005468175471138	0.0277800291700795
"Mesomycoplasma.conjunctivae"	"condition"	"CRC"	-0.74511719497901	0.215663280210332	300	286	0.00063072815127182	0.0277800291700795
"Thermomicrobium.roseum"	"condition"	"CRC"	-0.808878302460303	0.234435320917761	300	285	0.000641782621700088	0.0277800291700795
"Flammeovirga.kamogawensis"	"condition"	"CRC"	-1.15784505123889	0.333481806231674	300	270	0.000593113942615293	0.0277800291700795
"Rubrobacter.tropicus"	"condition"	"CRC"	-0.575124370114597	0.167797064080593	300	55	0.000695397065426847	0.0284855242356331
"Paraclostridium.bifermentans"	"condition"	"CRC"	-0.833757065811005	0.245444926783215	300	286	0.000774535373925153	0.0295391766745248
"Mesobacillus.foraminis"	"condition"	"CRC"	-0.681664972941946	0.200269128307329	300	285	0.000757078164904029	0.0295391766745248
