Nom,n (test),Model,Exactitud,Sensibilitat,Especificitat,AUC
DM2 S (Encoded),30,KNeighbors,0.5666666666666667,0.8,0.3333333333333333,0.6733333333333333
PD S (Encoded),21,<keras.eng,0.7142857142857143,0.6363636363636364,0.8,0.7181818181818181
DM2 S (Rawdata),30,"SVC(C=5, g",0.5666666666666667,0.5333333333333333,0.6,0.64
PD S (Rawdata),21,<keras.eng,0.5238095238095238,1.0,0.0,0.6636363636363636
DM2 S (Syn+Real),30,KNeighbors,0.6,0.5333333333333333,0.6666666666666666,0.6311111111111111
PD S (Syn+Real),21,<keras.eng,0.47619047619047616,0.18181818181818182,0.8,0.6272727272727272
DM2 S (Synthetic),30,<keras.eng,0.6,0.6,0.6,0.6577777777777778
PD S (Synthetic),21,<keras.eng,0.47619047619047616,0.0,1.0,0.5181818181818181
DM2 S1 (Encoded),30,KNeighbors,0.6333333333333333,0.8,0.4666666666666667,0.6511111111111111
PD S1 (Encoded),21,KNeighbors,0.6190476190476191,0.36363636363636365,0.9,0.5590909090909091
DM2 S1 (Rawdata),30,RandomFore,0.6333333333333333,0.8,0.4666666666666667,0.8177777777777778
PD S1 (Rawdata),21,KNeighbors,0.42857142857142855,0.09090909090909091,0.8,0.509090909090909
DM2 S1 (Syn+Real),30,<keras.eng,0.6333333333333333,0.6666666666666666,0.6,0.6488888888888888
PD S1 (Syn+Real),21,"SVC(C=0.1,",0.47619047619047616,0.0,1.0,0.2818181818181818
DM2 S1 (Synthetic),30,<keras.eng,0.5,0.5333333333333333,0.4666666666666667,0.6266666666666667
PD S1 (Synthetic),21,<keras.eng,0.38095238095238093,0.45454545454545453,0.3,0.4636363636363636
