sample,condition,study
SRR15852943,PD,SRP336652
SRR15852987,PD,SRP336652
SRR15852990,PD,SRP336652
SRR15853001,PD,SRP336652
SRR15853005,PD,SRP336652
SRR15852986,PD,SRP336652
SRR15852989,PD,SRP336652
SRR15852994,PD,SRP336652
SRR15852995,PD,SRP336652
SRR15852997,PD,SRP336652
SRR15853002,PD,SRP336652
SRR15853007,PD,SRP336652
SRR15853009,PD,SRP336652
SRR15853010,PD,SRP336652
SRR15853017,PD,SRP336652
SRR15852941,PD,SRP336652
SRR15852945,PD,SRP336652
SRR15852948,PD,SRP336652
SRR15852988,PD,SRP336652
SRR15852992,PD,SRP336652
SRR15852998,PD,SRP336652
SRR15853000,PD,SRP336652
SRR15853011,PD,SRP336652
SRR15853012,PD,SRP336652
SRR15853024,PD,SRP336652
SRR15853025,PD,SRP336652
ERR1912952,PD, ERP019674
ERR1912954,PD, ERP019674
ERR1912955,PD, ERP019674
ERR1912958,PD, ERP019674
ERR1912964,PD, ERP019674
ERR1912967,PD, ERP019674
ERR1912972,PD, ERP019674
ERR1912973,PD, ERP019674
ERR1912974,PD, ERP019674
ERR1912976,PD, ERP019674
ERR1912977,PD, ERP019674
ERR1912978,PD, ERP019674
ERR1912994,PD, ERP019674
ERR1913001,PD, ERP019674
ERR1913011,PD, ERP019674
ERR1913013,PD, ERP019674
ERR1913017,PD, ERP019674
ERR1913018,PD, ERP019674
ERR1913020,PD, ERP019674
ERR1913021,PD, ERP019674
ERR1913022,PD, ERP019674
ERR1913024,PD, ERP019674
ERR1913035,PD, ERP019674
ERR1913049,PD, ERP019674
ERR1913066,PD, ERP019674
ERR1913067,PD, ERP019674
ERR1913072,PD, ERP019674
ERR1913074,PD, ERP019674
ERR1913081,PD, ERP019674
ERR1913082,PD, ERP019674
ERR1913089,PD, ERP019674
ERR1913096,PD, ERP019674
ERR1913099,PD, ERP019674
ERR1913104,PD, ERP019674
ERR1913105,PD, ERP019674
ERR1913107,PD, ERP019674
ERR1913121,PD, ERP019674
ERR1913122,PD, ERP019674
ERR1913125,PD, ERP019674
ERR1913127,PD, ERP019674
ERR1912950,PD, ERP019674
ERR1912951,PD, ERP019674
SRR15852923,Control,SRP336652
SRR15852925,Control,SRP336652
SRR15852928,Control,SRP336652
SRR15852937,Control,SRP336652
SRR15852957,Control,SRP336652
SRR15852960,Control,SRP336652
SRR15852962,Control,SRP336652
SRR15852967,Control,SRP336652
SRR15852968,Control,SRP336652
SRR15852969,Control,SRP336652
SRR15853026,Control,SRP336652
SRR15853028,Control,SRP336652
SRR15852922,Control,SRP336652
SRR15852930,Control,SRP336652
SRR15852934,Control,SRP336652
SRR15852940,Control,SRP336652
SRR15852950,Control,SRP336652
SRR15852952,Control,SRP336652
SRR15852956,Control,SRP336652
SRR15852972,Control,SRP336652
SRR15853027,Control,SRP336652
SRR15852932,Control,SRP336652
SRR15852939,Control,SRP336652
SRR15852951,Control,SRP336652
SRR15852954,Control,SRP336652
SRR15852955,Control,SRP336652
SRR15852963,Control,SRP336652
SRR15852982,Control,SRP336652
SRR15852993,Control,SRP336652
ERR1913015,Control, ERP019674
ERR1913026,Control, ERP019674
ERR1913027,Control, ERP019674
ERR1913030,Control, ERP019674
ERR1913031,Control, ERP019674
ERR1913040,Control, ERP019674
ERR1913041,Control, ERP019674
ERR1913042,Control, ERP019674
ERR1913044,Control, ERP019674
ERR1913045,Control, ERP019674
ERR1913046,Control, ERP019674
ERR1913055,Control, ERP019674
ERR1913056,Control, ERP019674
ERR1913061,Control, ERP019674
ERR1913077,Control, ERP019674
ERR1913079,Control, ERP019674
ERR1913086,Control, ERP019674
ERR1913100,Control, ERP019674
ERR1913101,Control, ERP019674
ERR1913108,Control, ERP019674
ERR1913111,Control, ERP019674
ERR1913112,Control, ERP019674
ERR1913113,Control, ERP019674
ERR1913114,Control, ERP019674
ERR1913116,Control, ERP019674
ERR1913117,Control, ERP019674
ERR1913118,Control, ERP019674
ERR1913126,Control, ERP019674
ERR1912961,Control, ERP019674
ERR1912962,Control, ERP019674
ERR1912963,Control, ERP019674
ERR1912971,Control, ERP019674
ERR1912980,Control, ERP019674
ERR1912981,Control, ERP019674
ERR1912982,Control, ERP019674
ERR1912989,Control, ERP019674
ERR1912992,Control, ERP019674
ERR1913002,Control, ERP019674
ERR1913004,Control, ERP019674
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
